source,source_label,decade,n,alpha_dfa_mean,alpha_dfa_std,alpha_dfa_median,alpha_dfa_p25,alpha_dfa_p75,alpha_dfa_se
billboard,Billboard,1950,27,1.1429093774989694,0.09202774784017131,1.1588493859869593,1.0754030686228735,1.1856529772185356,0.017710748329479303
billboard,Billboard,1960,24,1.1401593815877293,0.1540707478697335,1.1511278693867328,1.0575425048986498,1.242602114702699,0.03144955971415379
billboard,Billboard,1970,26,1.1504308493999642,0.141724156573615,1.159070456370167,1.0858518649778286,1.2355493132633668,0.027794393842936235
billboard,Billboard,1980,27,1.1735657992470165,0.15790932290817447,1.211727949418211,1.0722006018025239,1.2703670898603174,0.030389663362862022
billboard,Billboard,1990,39,1.1520807787171665,0.1791606715780942,1.152868479220166,1.0707497225558273,1.270179888202331,0.02868866757427977
billboard,Billboard,2000,43,1.0701897482541023,0.19198017466749825,1.0787874671071602,0.9644811577696105,1.2128295960736981,0.029276702168997214
billboard,Billboard,2010,45,1.002649216540444,0.16265259673080285,0.994453436404855,0.8893347067705366,1.1257669845602796,0.02424681753379568
billboard,Billboard,2020,24,1.0516253895111412,0.16147189524756644,1.0932986980565105,0.9340223976140509,1.1714180257460975,0.032960312596389485
suno_v4_5,Suno v4.5,1950,34,1.1635474266196881,0.10071503844433514,1.1595947650016933,1.0960968123225547,1.2267701284664583,0.017272486595776862
suno_v4_5,Suno v4.5,1960,38,1.1603694907029511,0.12625346850559788,1.1612540718540476,1.0611623655221416,1.243738218578006,0.02048101708366606
suno_v4_5,Suno v4.5,1970,34,1.2197793327807844,0.147532819255098,1.2258930041946883,1.123510844785558,1.286317313845987,0.025301669764334792
suno_v4_5,Suno v4.5,1980,38,1.1683741982717357,0.15496400259614757,1.176921495627639,1.0634422692363277,1.2751120925802855,0.025138480725258237
suno_v4_5,Suno v4.5,1990,46,1.1664653093258481,0.13649566278815117,1.1603752883153473,1.1068134784194363,1.2283207841381891,0.020125187528144208
suno_v4_5,Suno v4.5,2000,40,1.1228606107801553,0.16541957258147982,1.1439528733388031,1.0315934692217408,1.2210684651948047,0.02615513094645077
suno_v4_5,Suno v4.5,2010,42,1.1237097470561384,0.18336552511118182,1.1100580888842444,1.0444534483789727,1.243286369856039,0.02829391479221344
suno_v4_5,Suno v4.5,2020,20,1.1960413999297477,0.15764385240849907,1.1908134336531928,1.0854377432528184,1.3329464518636036,0.03525023702203479
yue,YuE,1950,23,1.1191853874093767,0.16511955878542492,1.0975424881124816,1.0062397337938234,1.2315738525456552,0.03442980804950559
yue,YuE,1960,19,1.1581567385130647,0.12850928827427055,1.136986503856369,1.0776785649303255,1.2111120767267753,0.029482052678625352
yue,YuE,1970,18,1.1734072142796776,0.12772565380388273,1.161278866748293,1.0887909041600414,1.2644714881156518,0.03010522531207028
yue,YuE,1980,11,1.1973614735707065,0.14077374654540226,1.1661632863562943,1.1022929870622162,1.319499955706731,0.04244488160215354
yue,YuE,1990,20,1.1724041928743039,0.14768446531238338,1.1996526094684459,1.0392070602742796,1.2622650937000621,0.033023250365919896
yue,YuE,2000,25,1.1153334019303536,0.20101013073221374,1.1192849510895198,0.9736988370282328,1.2784389228685429,0.04020202614644275
yue,YuE,2010,23,1.0746341803959327,0.2129977924890912,1.1165440405631202,0.9762056807496885,1.1689552955342757,0.04441310989631326
yue,YuE,2020,14,1.1507116344492017,0.15516668483381613,1.1811782180178447,1.1086359784305655,1.2274091739008721,0.04147004089211945
