filter,description,source,source_label,matched_tracks,n,alpha_dfa_mean,alpha_dfa_std,alpha_dfa_median,alpha_dfa_p25,alpha_dfa_p75,alpha_width_mean,alpha_width_std,alpha_width_median,alpha_width_p25,alpha_width_p75,alpha_peak_mean,alpha_peak_std,alpha_peak_median,alpha_peak_p25,alpha_peak_p75,spectrum_skew_mean,spectrum_skew_std,spectrum_skew_median,spectrum_skew_p25,spectrum_skew_p75,delta_Hq_mean,delta_Hq_std,delta_Hq_median,delta_Hq_p25,delta_Hq_p75,contour_length_mean,contour_length_std,contour_length_median,contour_length_p25,contour_length_p75,selected_duration_sec_mean,selected_duration_sec_std,selected_duration_sec_median,selected_duration_sec_p25,selected_duration_sec_p75,raw_voiced_coverage_mean,raw_voiced_coverage_std,raw_voiced_coverage_median,raw_voiced_coverage_p25,raw_voiced_coverage_p75,selected_voiced_coverage_mean,selected_voiced_coverage_std,selected_voiced_coverage_median,selected_voiced_coverage_p25,selected_voiced_coverage_p75,median_voiced_prob_mean,median_voiced_prob_std,median_voiced_prob_median,median_voiced_prob_p25,median_voiced_prob_p75,jump_rate_mean,jump_rate_std,jump_rate_median,jump_rate_p25,jump_rate_p75,octave_jump_rate_mean,octave_jump_rate_std,octave_jump_rate_median,octave_jump_rate_p25,octave_jump_rate_p75
matched_all_accepted,"Year-position triples where Billboard, Suno v4.5, and YuE all passed server acceptance.",billboard,Billboard,105,105,1.0992253035318034,0.1874351469144701,1.147040043494597,0.9492979790115764,1.228410973337929,9.632931966766407,5.442228092340259,11.111625154730577,4.997367843347478,14.41572387524471,9.345016401816034,5.932723113021074,11.354974707930538,2.3062777477295,14.663745290177843,-0.4901723887925013,0.6435559622939285,-0.8786724281459911,-0.9141333376602054,0.047221932935653,8.962745933255858,5.556104569967098,10.446545073012066,4.659541132332821,13.891969582384675,2769.8952380952383,1381.5687566328465,2394.0,1787.0,3171.0,64.31684180973977,32.07996387283524,55.58857142857143,41.4940589569161,73.63047619047619,0.7682591144572766,0.08957844633916215,0.7813795008748503,0.7320894753118236,0.8285834031852473,0.8523343800368602,0.07086618831802963,0.8559476173153874,0.8301267010793055,0.8902974158946855,0.26722434316386573,0.19475702719013668,0.2407543944755742,0.1279370863012903,0.3233360583906408,0.07035689573789596,0.027208025238099464,0.0678605089538171,0.050976655550262,0.0923656927426955,0.004361558723598141,0.003279033071006606,0.0035566093657379,0.0021043771043771,0.0058479532163742
matched_all_accepted,"Year-position triples where Billboard, Suno v4.5, and YuE all passed server acceptance.",suno_v4_5,Suno v4.5,105,105,1.1617258274413107,0.12424370744310934,1.1502333156873528,1.0922291330516805,1.2396465542350834,9.090123531763592,5.575054377149694,11.231267190756396,2.928465827042524,14.684782860611747,8.678635577863954,6.040278117482516,11.657524640990786,1.8731292912124784,14.366503430722474,-0.4206431195874536,0.6734019540561066,-0.8360172541332404,-0.8922825963986877,0.0774166252028625,8.310834492234646,5.797618628790725,10.755124632005014,2.368369487548505,13.632647977565837,2780.5333333333333,1519.5739348875866,2277.0,1692.0,3372.0,64.56385789871504,35.28443785317209,52.87183673469388,39.288163265306125,78.29768707482994,0.762378884894835,0.10800327476272159,0.7839553972433019,0.6950271380372598,0.8534834623504575,0.8380052865452431,0.0955563929912978,0.8598265895953757,0.8119318181818181,0.8981115502854633,0.5484120601796109,0.2263038062356152,0.5485250542599845,0.3721358982975087,0.7571601330199094,0.055408803629676366,0.021820971975634595,0.0528406833531982,0.0381471389645776,0.068287037037037,0.0037666212554356097,0.003652377135411532,0.0025113008538422,0.0011494252873563,0.0049916805324459
matched_all_accepted,"Year-position triples where Billboard, Suno v4.5, and YuE all passed server acceptance.",yue,YuE,105,105,1.1474641983376968,0.17507556348414163,1.1539616893656115,1.043911112858,1.266548291734464,8.581513289182572,5.824198702693527,9.969024190225834,1.951732938399296,14.136250515723216,8.218840763001035,6.282885142051917,9.909602860817756,1.6059251140890605,14.296576461037375,-0.3578497117382853,0.7041601154615341,-0.8366849186337596,-0.904246926327528,0.2041115773068516,7.824451448571943,6.041127667367068,9.147375395890911,1.5801042545091697,13.454227322437545,2124.7428571428572,634.179315647873,1970.0,1652.0,2438.0,49.33643278263686,14.725614948376913,45.743310657596375,38.35936507936508,56.610249433106574,0.7675655725764622,0.11441570340415244,0.7690977226866532,0.7136842105263158,0.8562740076824584,0.8652047845330268,0.09233625856384663,0.8896797153024911,0.8359550561797753,0.91975448965674,0.520823658113904,0.23024568114628632,0.5485250542599844,0.3233360583906408,0.6860828109301793,0.05746849659696062,0.024475369456923683,0.054928517682468,0.0406332453825857,0.066746126340882,0.003009266905693135,0.002364176655128607,0.0023847376788553,0.0013218770654329,0.0042016806722689
matched_strict_combined,Year-position triples where all three sources pass the strict combined local quality filter.,billboard,Billboard,40,40,1.1681277708232216,0.13057589270184383,1.1772099748316094,1.1036820573233332,1.2418571667211238,11.185229768431018,4.609090378661839,12.776083336700044,9.383629513113313,14.756230119511503,10.94778032330373,5.167723459864199,12.793355307334444,8.926498419636228,14.805677863128324,-0.6050906442381695,0.5603844313035374,-0.8897657090304962,-0.9082043982413266,-0.7981849743951287,10.534716571323619,4.6467087765728605,11.980615061710367,8.9099646047157,14.05019952042421,2422.075,882.687806340123,2130.5,1812.25,2989.75,56.240471655328804,20.495970832024625,49.470113378684815,42.08036281179139,69.42185941043084,0.7857833348056944,0.08429992230548464,0.8011266970316623,0.7405308834697231,0.8440203659376075,0.8751992544599364,0.04296497675061247,0.8754215048088201,0.848297286235215,0.9035495134028557,0.3861541824701368,0.18227350198563874,0.3233360583906408,0.2407543944755742,0.4849868077159112,0.0543776341048897,0.01922462779498397,0.05685255775573615,0.0394967187801582,0.06832460553954373,0.0034173745928527495,0.0022760330236253636,0.00305926378345885,0.0019134853489266,0.0046568890424535
matched_strict_combined,Year-position triples where all three sources pass the strict combined local quality filter.,suno_v4_5,Suno v4.5,40,40,1.1567110898977813,0.12706763756021433,1.1339449815918001,1.093046854342315,1.2353896844976973,8.289340969546688,5.688587694845488,8.054836605418263,1.7740303252445522,14.03291914347072,7.872220637982655,6.08049109854539,6.6979180166845165,1.6415830564378244,13.950923177315712,-0.35391161313658975,0.6653218509994364,-0.7814965619856005,-0.8921512806424186,0.157117276626776,7.594850177149968,5.748892935594776,7.677822812350704,1.33762448783507,13.116608577512128,3264.125,1745.581560390221,2692.0,1864.25,4016.75,75.79283446712019,40.53232466756432,62.508117913832194,43.28780045351474,93.26875283446712,0.7844946063112636,0.11085705890296675,0.8114252886140324,0.7391130411950076,0.8685457446525999,0.8752537380532095,0.06315219211358733,0.8929962964829381,0.8456566612814337,0.9165155305616144,0.6530700633271502,0.19605034467264454,0.6860828109301793,0.4849868077159113,0.8266685594724995,0.04779493618643975,0.01664854404868154,0.0441539531571082,0.0357750265356889,0.05729580414530217,0.0021818297867130174,0.002059935686545801,0.00204446729427055,0.0008553216313318749,0.002530937261137175
matched_strict_combined,Year-position triples where all three sources pass the strict combined local quality filter.,yue,YuE,40,40,1.1943119747012636,0.13714765518158342,1.2072066620534496,1.1154419289627182,1.2717477702092372,8.697262085680975,5.303299391363108,10.518575232898371,2.673454751758276,13.76276696953327,8.370216988967268,5.821569735688942,10.690473241603797,1.8466418803957574,13.819655587258154,-0.41516967320235576,0.6715483306468488,-0.8354070815875021,-0.8929707907100868,0.17090095597630692,7.895964699801016,5.482222251503741,9.94558443891119,2.2806164052037894,12.886465369634692,2176.075,645.0670164945893,1976.5,1666.25,2631.75,50.52836281179138,14.978426868264387,45.89424036281179,38.69024943310658,61.1091156462585,0.816047402017426,0.08325287699172383,0.7974970358312734,0.7600106498682976,0.8842442265092088,0.8945255408716118,0.06222469059666252,0.9136520883520902,0.8703106598969579,0.9266837097609942,0.5931993199864269,0.19360563090485147,0.6159498854580681,0.4849868077159112,0.7571601330199093,0.04990673244549447,0.018565640373891037,0.05002791067086755,0.03721898057492855,0.0596635238179355,0.0028289492494479075,0.002238866816066914,0.00231392244210285,0.0012831230849556499,0.00404709476624195
