source,source_label,selected_duration_sec_n,selected_duration_sec_mean,selected_duration_sec_std,selected_duration_sec_median,selected_duration_sec_p10,selected_duration_sec_p25,selected_duration_sec_p75,selected_duration_sec_p90,selected_duration_sec_min,selected_duration_sec_max,raw_voiced_coverage_n,raw_voiced_coverage_mean,raw_voiced_coverage_std,raw_voiced_coverage_median,raw_voiced_coverage_p10,raw_voiced_coverage_p25,raw_voiced_coverage_p75,raw_voiced_coverage_p90,raw_voiced_coverage_min,raw_voiced_coverage_max,selected_voiced_coverage_n,selected_voiced_coverage_mean,selected_voiced_coverage_std,selected_voiced_coverage_median,selected_voiced_coverage_p10,selected_voiced_coverage_p25,selected_voiced_coverage_p75,selected_voiced_coverage_p90,selected_voiced_coverage_min,selected_voiced_coverage_max,median_voiced_prob_n,median_voiced_prob_mean,median_voiced_prob_std,median_voiced_prob_median,median_voiced_prob_p10,median_voiced_prob_p25,median_voiced_prob_p75,median_voiced_prob_p90,median_voiced_prob_min,median_voiced_prob_max,jump_rate_n,jump_rate_mean,jump_rate_std,jump_rate_median,jump_rate_p10,jump_rate_p25,jump_rate_p75,jump_rate_p90,jump_rate_min,jump_rate_max,octave_jump_rate_n,octave_jump_rate_mean,octave_jump_rate_std,octave_jump_rate_median,octave_jump_rate_p10,octave_jump_rate_p25,octave_jump_rate_p75,octave_jump_rate_p90,octave_jump_rate_min,octave_jump_rate_max
billboard,Billboard,255,57.11134516028635,26.75895144112693,48.15818594104309,33.93828571428571,39.404263038548756,66.71092970521542,89.61509297052154,30.02340136054422,195.6048979591837,255,0.7508366493752706,0.08594733260206856,0.7654154202451028,0.6339425325895075,0.6999323815888115,0.8105482254903609,0.8470592084207993,0.4598757271285034,0.9093423865208098,255,0.8451938691249565,0.06274505022008182,0.8479452054794521,0.7844712582384925,0.8187535080695576,0.8833149751310954,0.9101118868247018,0.3009307135470527,0.9421654337592468,255,0.23814258467282154,0.176636948592592,0.2065067991177522,0.051040754027875654,0.092037570812181,0.3233360583906408,0.4849868077159112,0.0100130688462389,0.9459302094659092,255,0.07476756774961629,0.02851034806342857,0.070625,0.04067081533417916,0.055039732447243,0.09441418688920605,0.11346217280119521,0.0189218136379864,0.1781376518218623,255,0.004676206210181117,0.00358437084663675,0.0038077106139933,0.0010844465039461801,0.0021560391408727503,0.0063772348402689,0.009595252465525499,0.0,0.0238313473877176
suno_v4_5,Suno v4.5,292,60.388422327835244,31.57415809610942,50.41052154195012,34.22621315192744,39.43328798185941,68.77750566893425,101.08575056689348,30.162721088435376,186.3633560090703,292,0.7628527505956006,0.10284727661638682,0.7841933550927537,0.6155529574181468,0.6996476358699619,0.8431159018316982,0.8768883819060983,0.4521210230817217,0.9554018602432626,292,0.8433976004922675,0.08976199187186927,0.866086115089501,0.7403308167467398,0.8130123064929279,0.8989551716551046,0.9278737383183209,0.4145043246839654,0.9715234931181777,292,0.5457774924492856,0.22904092159662803,0.5485250542599845,0.2407543944755742,0.3721358982975086,0.7571601330199093,0.8266685594724996,0.0348974280196252,0.9459302094659092,292,0.055345117942383754,0.020822347520207795,0.05289386815012555,0.03197845599686891,0.039088975430700924,0.06779888199926483,0.08401626137180532,0.0183239677498167,0.1477597712106768,292,0.003776854378769541,0.0033410875161871195,0.0028132804247983497,0.00067059177493082,0.0013835237448513748,0.004899398846767175,0.00862818673435598,0.0,0.020253164556962
yue,YuE,153,48.32133268122064,15.265752096223714,44.535873015873015,31.964589569161,36.36244897959184,55.35637188208617,71.34563265306123,30.116281179138323,105.27927437641723,153,0.7511306423063051,0.1269315699763668,0.7637701804368471,0.5754090548972518,0.6890737410071942,0.840227944280287,0.9025612370608878,0.2852720035382574,0.9701739850869926,153,0.8506383897771642,0.11037497948214225,0.8848101265822785,0.7240678143509796,0.8270481144343304,0.9160251924422672,0.9440621441353506,0.3027663934426229,0.9849397590361446,153,0.48469252511079053,0.23713480508188756,0.4849868077159113,0.17653060863289752,0.2796051653363589,0.6860828109301792,0.8266685594724995,0.0101019745937449,0.9459302094659092,153,0.05828098340005392,0.0235813694926458,0.0550755939524838,0.03500475385694936,0.0414235705950991,0.0694135115070527,0.08760717159278684,0.0139186295503211,0.168545356951154,153,0.0033540409392199756,0.002846920838072511,0.0024177949709864,0.00053906404497548,0.0013495276653171,0.0046666666666666,0.007107309742216801,0.0,0.0135593220338983
