track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate,reason,alpha_dfa,mfdfa_ok,mfdfa_error,alpha_width,alpha_peak,W_L,W_R,B,R,spectrum_skew,delta_Hq,H_q,alpha_curve,f_alpha_curve,qvals,contour_length
billboard_1950_04,billboard,1950,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_4_Gary & Bing Crosby_Sam's Song_vocals.mp3,1950_4_Gary & Bing Crosby_Sam's Song_vocals.mp3,Gary & Bing Crosby,Sam's Song,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1950_04.npz,24.63637188208617,0.70237615787354,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1967_05,billboard,1967,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_5_The Monkees_I'm a Believer_vocals.mp3,1967_5_The Monkees_I'm a Believer_vocals.mp3,The Monkees,I'm a Believer,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1967_05.npz,15.650249433106575,0.6719472872564138,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1956_01,billboard,1956,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_1_Elvis Presley_Heartbreak Hotel_vocals.mp3,1956_1_Elvis Presley_Heartbreak Hotel_vocals.mp3,Elvis Presley,Heartbreak Hotel,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1956_01.npz,22.75555555555556,0.7311091073038773,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1962_02,billboard,1962,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_2_Ray Charles_I Can't Stop Loving You_vocals.mp3,1962_2_Ray Charles_I Can't Stop Loving You_vocals.mp3,Ray Charles,I Can't Stop Loving You,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1962_02.npz,25.820589569161,0.7330493110949964,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1970_05,billboard,1970,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1970_5_Edwin Starr_War_vocals.mp3,1970_5_Edwin Starr_War_vocals.mp3,Edwin Starr,War,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1970_05.npz,26.12244897959184,0.3850655903128153,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1957_02,billboard,1957,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_2_Pat Boone_Love Letters in the Sand_vocals.mp3,1957_2_Pat Boone_Love Letters in the Sand_vocals.mp3,Pat Boone,Love Letters in the Sand,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1957_02.npz,27.56208616780045,0.8244569589702333,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1962_01,billboard,1962,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_1_Acker Bilk_Stranger on the Shore_vocals.mp3,1962_1_Acker Bilk_Stranger on the Shore_vocals.mp3,Acker Bilk,Stranger on the Shore,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1962_01.npz,25.193650793650797,0.7516533945201782,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1969_04,billboard,1969,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1969_4_The Rolling Stones_Honky Tonk Women_vocals.mp3,1969_4_The Rolling Stones_Honky Tonk Women_vocals.mp3,The Rolling Stones,Honky Tonk Women,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1969_04.npz,17.554285714285715,0.3166793796084414,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1955_04,billboard,1955,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_4_Roger Williams_Autumn Leaves_vocals.mp3,1955_4_Roger Williams_Autumn Leaves_vocals.mp3,Roger Williams,Autumn Leaves,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1955_04.npz,17.87936507936508,0.3339174979778916,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1968_03,billboard,1968,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1968_3_Bobby Goldsboro_Honey_vocals.mp3,1968_3_Bobby Goldsboro_Honey_vocals.mp3,Bobby Goldsboro,Honey,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1968_03.npz,29.83764172335601,0.829924650161464,,too_short,,,,too_short,,,,,,,,,,,,,,,,
