track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate
suno_v4_5_1950_04,suno_v4_5,1950,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1950_4_09f37e8c-f7de-42ec-bb36-137f07e9c10a_vocals.mp3,1950_4_09f37e8c-f7de-42ec-bb36-137f07e9c10a_vocals.mp3,Gary & Bing Crosby,Sam's Song,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1950_04.npz,27.608526077097505,0.6861097380128522,,too_short,,,
billboard_2020_01,billboard,2020,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2020_1_The Weeknd_Blinding Lights_vocals.mp3,2020_1_The Weeknd_Blinding Lights_vocals.mp3,The Weeknd,Blinding Lights,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2020_01.npz,73.21251700680273,0.6956124314442413,0.782429432286711,,0.3233360583906408,0.05555555555555555,0.0024330900243309003
billboard_2014_03,billboard,2014,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2014_3_John Legend_All of Me_vocals.mp3,2014_3_John Legend_All of Me_vocals.mp3,John Legend,All of Me,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2014_03.npz,91.46340136054422,0.8201058201058201,0.9126681898959127,,0.4260623290432815,0.05703951029493601,0.0008347245409015025
billboard_1998_02,billboard,1998,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1998_2_Brandy and Monica_The Boy Is Mine_vocals.mp3,1998_2_Brandy and Monica_The Boy Is Mine_vocals.mp3,Brandy and Monica,The Boy Is Mine,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1998_02.npz,56.79600907029479,0.800346538552414,0.883483237939493,,0.1279370863012904,0.10231481481481482,0.004629629629629629
billboard_2021_02,billboard,2021,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2021_2_The Weeknd and Ariana Grande_Save Your Tears_vocals.mp3,2021_2_The Weeknd and Ariana Grande_Save Your Tears_vocals.mp3,The Weeknd and Ariana Grande,Save Your Tears,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2021_02.npz,40.28662131519275,0.759194734804491,0.7786743515850144,,0.15046460134333878,0.06592592592592593,0.01037037037037037
billboard_2021_04,billboard,2021,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2021_4_24kGoldn feat. Iann Dior_Mood_vocals.mp3,2021_4_24kGoldn feat. Iann Dior_Mood_vocals.mp3,24kGoldn feat. Iann Dior,Mood,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2021_04.npz,102.37678004535148,0.766949806949807,0.8641415286913132,,0.1765306086328976,0.10475190338671567,0.0005250721974271463
billboard_2020_02,billboard,2020,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2020_2_Post Malone_Circles_vocals.mp3,2020_2_Post Malone_Circles_vocals.mp3,Post Malone,Circles,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2020_02.npz,62.94929705215419,0.7825336927223719,0.8218369605311693,,0.20650679911775227,0.0449034575662326,0.01122586439155815
billboard_1998_05,billboard,1998,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1998_5_LeAnn Rimes_How Do I Live_vocals.mp3,1998_5_LeAnn Rimes_How Do I Live_vocals.mp3,LeAnn Rimes,How Do I Live,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1998_05.npz,100.14766439909297,0.8678111587982833,0.9030837004405287,,0.24075439447557428,0.05187467899332306,0.00539291217257319
billboard_2020_05,billboard,2020,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2020_5_DaBaby feat. Roddy Ricch_Rockstar_vocals.mp3,2020_5_DaBaby feat. Roddy Ricch_Rockstar_vocals.mp3,DaBaby feat. Roddy Ricch,Rockstar,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2020_05.npz,40.00798185941043,0.7451781836760761,0.7817759721416134,,0.0779752376229482,0.11738484398216939,0.005943536404160475
billboard_1998_04,billboard,1998,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1998_4_Savage Garden_Truly Madly Deeply_vocals.mp3,1998_4_Savage Garden_Truly Madly Deeply_vocals.mp3,Savage Garden,Truly Madly Deeply,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1998_04.npz,63.76199546485261,0.8350936362829502,0.8656227239621267,,0.2407543944755743,0.05218855218855219,0.006313131313131313
