track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1953_04,billboard,1953,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1953_4_Eddie Fisher_I'm Walking Behind You_vocals.mp3,1953_4_Eddie Fisher_I'm Walking Behind You_vocals.mp3,Eddie Fisher,I'm Walking Behind You,pending,,,,,
billboard_1953_05,billboard,1953,05,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1953_5_Ames Brothers_You, You, You_vocals.mp3","1953_5_Ames Brothers_You, You, You_vocals.mp3",Ames Brothers,"You, You, You",pending,,,,,
billboard_1954_01,billboard,1954,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_1_Kitty Kallen_Little Things Mean a Lot_vocals.mp3,1954_1_Kitty Kallen_Little Things Mean a Lot_vocals.mp3,Kitty Kallen,Little Things Mean a Lot,pending,,,,,
billboard_1954_02,billboard,1954,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_2_Perry Como_Wanted_vocals.mp3,1954_2_Perry Como_Wanted_vocals.mp3,Perry Como,Wanted,pending,,,,,
billboard_1954_03,billboard,1954,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_3_Rosemary Clooney_Hey There_vocals.mp3,1954_3_Rosemary Clooney_Hey There_vocals.mp3,Rosemary Clooney,Hey There,pending,,,,,
billboard_1954_04,billboard,1954,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_4_The Crew-Cuts_Sh-Boom_vocals.mp3,1954_4_The Crew-Cuts_Sh-Boom_vocals.mp3,The Crew-Cuts,Sh-Boom,pending,,,,,
billboard_1954_05,billboard,1954,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_5_Jo Stafford_Make Love to Me_vocals.mp3,1954_5_Jo Stafford_Make Love to Me_vocals.mp3,Jo Stafford,Make Love to Me,pending,,,,,
billboard_1955_01,billboard,1955,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_1_Perez Prado_Cherry Pink and Apple Blossom White_vocals.mp3,1955_1_Perez Prado_Cherry Pink and Apple Blossom White_vocals.mp3,Perez Prado,Cherry Pink and Apple Blossom White,pending,,,,,
billboard_1955_02,billboard,1955,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_2_Bill Haley & His Comets_Rock Around the Clock_vocals.mp3,1955_2_Bill Haley & His Comets_Rock Around the Clock_vocals.mp3,Bill Haley & His Comets,Rock Around the Clock,pending,,,,,
billboard_1955_03,billboard,1955,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_3_Mitch Miller_The Yellow Rose of Texas_vocals.mp3,1955_3_Mitch Miller_The Yellow Rose of Texas_vocals.mp3,Mitch Miller,The Yellow Rose of Texas,pending,,,,,
