source,n_accepted,alpha_dfa_mean,alpha_dfa_std,alpha_dfa_median,alpha_width_mean
billboard,255,1.1024603554985468,0.17005001526566202,1.1272528690568733,10.147617756911242
suno_v4_5,292,1.1616912193006923,0.14976870625968708,1.1635803599928258,9.295823861462612
yue,153,1.1385393199059872,0.16717732306475297,1.1399185832067302,8.285863485414529
