track_id,source,year,position,artist,title,alpha_dfa,alpha_width,alpha_peak,spectrum_skew,mfdfa_ok,contour_length
billboard_1959_04,billboard,1959,04,Frankie Avalon,Venus,1.1583454748688298,14.441709665565593,14.970979119480035,-0.9282744445186137,True,2138.0
billboard_1958_04,billboard,1958,04,David Seville,Witch Doctor,1.1575442088891543,14.128238279310962,14.740744562306588,-0.9285559418828544,True,1787.0
billboard_1954_05,billboard,1954,05,Jo Stafford,Make Love to Me,1.0630038025153388,14.91390415545608,14.857451081535004,-0.8903138479488577,True,2426.0
billboard_1986_02,billboard,1986,02,Lionel Richie,"Say You, Say Me",1.239482962569187,14.799088037404085,15.095802047954493,-0.8725282432535006,True,1707.0
billboard_1985_01,billboard,1985,01,George Michael,Careless Whisper,1.0340699786327292,5.964725433235065,6.3792387457744155,-0.8530602827454132,True,2725.0
billboard_1993_04,billboard,1993,04,Janet Jackson,That's the Way Love Goes,1.288865648356843,11.548956331000161,12.068305038328248,-0.9089403221388177,True,1682.0
billboard_1950_02,billboard,1950,02,Nat King Cole,Mona Lisa,1.159821977601714,15.794212243978796,15.433874759506125,-0.8465159018594358,True,1823.0
billboard_1992_04,billboard,1992,04,Vanessa Williams,Save the Best for Last,1.2350603139681156,14.949709048099182,15.492631558714436,-0.9263734342428521,True,1541.0
billboard_1956_04,billboard,1956,04,The Platters,My Prayer,1.2485290112199998,15.453983393046055,15.131141727985323,-0.8241787269490318,True,1446.0
billboard_1972_02,billboard,1972,02,Gilbert O'Sullivan,Alone Again (Naturally),1.1208898775800207,14.7684087587562,14.99174408560745,-0.9250334798665638,True,1766.0
billboard_1970_01,billboard,1970,01,Simon and Garfunkel,Bridge Over Troubled Water,1.4105075381627794,14.688623112393849,15.018522253139537,-0.9026264924285607,True,2974.0
billboard_1973_05,billboard,1973,05,Paul McCartney and Wings,My Love,1.19297506422008,9.626792345689013,9.779682484643317,-0.8616148247681528,True,2642.0
billboard_1988_05,billboard,1988,05,Guns N' Roses,Sweet Child O'Mine,1.485473874371022,1.4884111441149646,0.00041771299981885335,1.0,True,1934.0
billboard_1963_05,billboard,1963,05,Bobby Vinton,Blue Velvet,1.2824958525476697,12.812823431491067,12.670273000483448,-0.8278229747863942,True,2035.0
billboard_1990_05,billboard,1990,05,Madonna,Vogue,1.1302229011152145,13.224370447105393,13.72183103135147,-0.9319976798761286,True,1318.0
