track_id,source,year,position,status,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,median_voiced_prob,jump_rate,octave_jump_rate,skip_reason
billboard_1960_04,billboard,1960,04,success,122.60136054421768,0.8609532138172278,0.9001893939393939,0.1279370863012903,0.0812289562289562,0.0021043771043771,
billboard_1955_02,billboard,1955,02,success,52.8021768707483,0.5310227448553303,0.609938434476693,0.2407543944755742,0.1248196248196248,0.0014430014430014,
billboard_1957_03,billboard,1957,03,skipped,23.475374149659864,0.6580007323324789,,,,,too_short
billboard_1963_02,billboard,1963,02,success,55.58857142857143,0.8329248954879631,0.9348370927318296,0.6860828109301793,0.0263746088511399,0.0,
billboard_1955_04,billboard,1955,04,skipped,17.87936507936508,0.3339174979778916,,,,,too_short
billboard_1959_01,billboard,1959,01,skipped,22.01251700680272,0.7094293185663744,,,,,too_short
billboard_1951_03,billboard,1951,03,success,55.00807256235828,0.4676416819012797,0.5470662726888983,0.016467587593113,0.0857142857142857,0.0061776061776061,
billboard_1961_02,billboard,1961,02,success,69.75274376417234,0.8400442784004428,0.910785619174434,0.4849868077159113,0.043144424131627,0.0047531992687385,
billboard_1951_04,billboard,1951,04,success,49.13342403628118,0.7762441679626749,0.8856332703213611,0.4260623290432814,0.0859583555792845,0.0005339028296849,
billboard_1959_05,billboard,1959,05,skipped,18.64562358276644,0.5136271383009569,,,,,too_short
billboard_1964_02,billboard,1964,02,success,38.754104308390026,0.7343173431734318,0.8106650689035351,0.0476869930825249,0.0673076923076923,0.0059171597633136,
billboard_1957_01,billboard,1957,01,skipped,21.73387755102041,0.7159890539483972,,,,,too_short
billboard_1953_03,billboard,1953,03,success,33.57605442176871,0.8224690458849235,0.8298755186721992,0.4849868077159112,0.1092577147623019,0.0041701417848206,
billboard_1967_02,billboard,1967,02,skipped,17.972244897959182,0.7795487476712896,,,,,too_short
billboard_1959_04,billboard,1959,04,success,49.64426303854875,0.8711974110032362,0.8835360149672591,0.2407543944755742,0.0413135593220339,0.0063559322033898,
billboard_1950_03,billboard,1950,03,skipped,25.959909297052157,0.5367660024687004,,,,,too_short
billboard_1951_01,billboard,1951,01,success,34.411972789115644,0.7779941577409932,0.9385964912280702,0.4849868077159114,0.0553956834532374,0.0007194244604316,
billboard_1955_03,billboard,1955,03,success,37.987845804988666,0.5909273384183059,0.7047677261613692,0.0203176285563605,0.0642361111111111,0.0034722222222222,
billboard_1950_05,billboard,1950,05,success,34.22621315192744,0.724881995954147,0.8534599728629579,0.3233360583906408,0.107398568019093,0.0015910898965791,
billboard_1952_01,billboard,1952,01,skipped,22.105396825396827,0.4533529647972159,,,,,too_short
billboard_1972_02,billboard,1972,02,success,41.00643990929705,0.7206638115631692,0.8754246885617214,0.3014706117722766,0.0576051779935275,0.0019417475728155,
billboard_1952_03,billboard,1952,03,success,71.68,0.8286470810742655,0.92095885973437,0.1504646013433388,0.0510204081632653,0.0017593244194229,
billboard_1952_02,billboard,1952,02,success,40.28662131519275,0.8215547703180212,0.9210374639769452,0.2065067991177523,0.0488415779586725,0.0012523481527864,
billboard_1951_02,billboard,1951,02,success,38.24326530612245,0.8431603773584906,0.9234972677595628,0.4260623290432814,0.0269736842105263,0.0026315789473684,
billboard_1952_04,billboard,1952,04,success,67.63972789115647,0.8473559194899363,0.9062821833161688,0.2796051653363589,0.0382720727548313,0.006820765441455,
billboard_1950_02,billboard,1950,02,success,42.32997732426304,0.8105250792904969,0.9199122325836532,0.5485250542599844,0.0328162291169451,0.0005966587112171,
billboard_1959_02,billboard,1959,02,skipped,17.99546485260771,0.6886271623113729,,,,,too_short
billboard_1958_01,billboard,1958,01,success,46.32380952380952,0.8074684239428885,0.8701754385964913,0.1765306086328975,0.0685878962536023,0.0051873198847262,
billboard_1954_02,billboard,1954,02,success,43.049795918367344,0.683609437751004,0.9007551240560948,0.2407543944755742,0.0611144397843019,0.0053924505692031,
billboard_1953_04,billboard,1953,04,success,47.67056689342404,0.8337971161143435,0.9191427179736972,0.1279370863012903,0.0318133616118769,0.0010604453870625,
billboard_1951_05,billboard,1951,05,success,89.2110657596372,0.7385198395006688,0.8755856324830817,0.0229442191246386,0.0993160868272375,0.0029735355337496,
billboard_1968_05,billboard,1968,05,skipped,14.349931972789117,0.4940988443570199,,,,,too_short
billboard_1965_03,billboard,1965,03,skipped,24.7524716553288,0.6273511378987842,,,,,too_short
billboard_1974_05,billboard,1974,05,skipped,22.569795918367348,0.5075555555555555,,,,,too_short
billboard_1970_04,billboard,1970,04,skipped,29.094603174603176,0.6413974950560316,,,,,too_short
billboard_1972_04,billboard,1972,04,success,57.23718820861678,0.8200751109593718,0.9399594320486816,0.2407543944755743,0.0323834196891191,0.0021588946459412,
billboard_1973_01,billboard,1973,01,success,50.15510204081633,0.6950837988826816,0.8009259259259259,0.2407543944755742,0.0855986119144013,0.0069404279930595,
billboard_1965_05,billboard,1965,05,skipped,27.422766439909296,0.6612557427258805,,,,,too_short
billboard_1975_04,billboard,1975,04,skipped,13.514013605442177,0.6044451118786605,,,,,too_short
billboard_1969_02,billboard,1969,02,skipped,26.33142857142857,0.4307151979565772,,,,,too_short
billboard_1975_01,billboard,1975,01,success,82.31473922902495,0.765346201324206,0.842031029619182,0.1504646013433388,0.0616621983914209,0.0067024128686327,
billboard_1963_04,billboard,1963,04,success,44.535873015873015,0.6376392901361948,0.8399374348279458,0.030106861794195,0.0894409937888198,0.0037267080745341,
billboard_1977_04,billboard,1977,04,success,82.70947845804989,0.8880727091633466,0.9267265581134194,0.4849868077159112,0.039090909090909,0.0033333333333333,
billboard_1975_02,billboard,1975,02,skipped,28.23546485260771,0.7067347665993586,,,,,too_short
billboard_1977_05,billboard,1977,05,skipped,21.037278911564627,0.5714655283921873,,,,,too_short
billboard_1977_03,billboard,1977,03,success,51.2,0.6693843420089892,0.8058956916099773,0.2407543944755742,0.0968468468468468,0.0039414414414414,
billboard_1978_05,billboard,1978,05,skipped,11.075918367346938,0.4936105696339614,,,,,too_short
billboard_1962_05,billboard,1962,05,skipped,31.161179138321994,0.3038876450234072,,,,,low_region_voiced_coverage
billboard_1977_02,billboard,1977,02,skipped,25.704489795918366,0.6449223171108138,,,,,too_short
billboard_1958_03b,billboard,1958,03b,skipped,18.854603174603174,0.7213438735177866,,,,,too_short
billboard_1976_04,billboard,1976,04,skipped,19.667301587301587,0.6314572980469202,,,,,too_short
billboard_1978_02,billboard,1978,02,skipped,23.54503401360544,0.7279207038645729,,,,,too_short
billboard_1975_05,billboard,1975,05,success,40.658140589569165,0.7559239069974413,0.8446601941747572,0.4260623290432814,0.0690121786197564,0.0040595399188092,
billboard_1977_01,billboard,1977,01,skipped,15.62702947845805,0.5676204199258954,,,,,too_short
billboard_1956_02,billboard,1956,02,skipped,26.19210884353741,0.6700526711813394,,,,,too_short
